Severe Housing Cost Burden-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Severe Housing Cost Burden
2018,56039,Teton County,Wyoming,3.8,11.592565972
2018,53055,San Juan County,Washington,4.5,15.825254941
2018,49043,Summit County,Utah,4.8,11.841445058
2018,27045,Fillmore County,Minnesota,5,8.4904541681
2018,30031,Gallatin County,Montana,5,14.289587852
2018,06057,Nevada County,California,5.1,18.834518682
2018,16013,Blaine County,Idaho,5.1,13.084702908
2018,08037,Eagle County,Colorado,5.2,20.594081272
2018,08039,Elbert County,Colorado,5.3,11.859273066
2018,08069,Larimer County,Colorado,5.3,15.07959457
2018,56019,Johnson County,Wyoming,5.3,8.073289436
2018,08067,La Plata County,Colorado,5.4,12.446310506
2018,41003,Benton County,Oregon,5.4,18.219633943
2018,53031,Jefferson County,Washington,5.4,13.719953165
2018,08013,Boulder County,Colorado,5.5,17.66764362
2018,08035,Douglas County,Colorado,5.5,10.268725176
2018,19081,Hancock County,Iowa,5.5,9.0416305291
2018,26047,Emmet County,Michigan,5.5,11.499816648
2018,51107,Loudoun County,Virginia,5.5,8.8577249472
2018,55025,Dane County,Wisconsin,5.5,12.773340258
2018,08007,Archuleta County,Colorado,5.6,14.381388791
2018,08049,Grand County,Colorado,5.6,10.834432718
2018,08117,Summit County,Colorado,5.6,11.649973643
2018,51059,Fairfax County,Virginia,5.6,12.229076953
2018,06087,Santa Cruz County,California,5.7,20.421551163
2018,08045,Garfield County,Colorado,5.7,10.513343129
2018,08059,Jefferson County,Colorado,5.7,12.202890579
2018,08119,Teller County,Colorado,5.7,11.311053985
2018,19191,Winneshiek County,Iowa,5.7,9.0339556447
2018,27121,Pope County,Minnesota,5.7,9.6360628619
2018,34019,Hunterdon County,New Jersey,5.7,11.686204172
2018,30009,Carbon County,Montana,5.8,9.9333180041
2018,35049,Santa Fe County,New Mexico,5.8,14.714868458
2018,06041,Marin County,California,5.9,18.655032199
2018,08093,Park County,Colorado,5.9,10.906720742
2018,08097,Pitkin County,Colorado,5.9,12.168421053
2018,08107,Routt County,Colorado,5.9,15.368141954
2018,13143,Haralson County,Georgia,5.9,12.094717668
2018,26055,Grand Traverse County,Michigan,5.9,11.375761168
2018,49051,Wasatch County,Utah,5.9,11.738616203
2018,51510,Alexandria City,Virginia,5.9,13.778453494
2018,06061,Placer County,California,6,14.564606742
2018,08015,Chaffee County,Colorado,6,13.709677419
2018,08051,Gunnison County,Colorado,6,17.631103074
2018,20105,Lincoln County,Kansas,6,9.0534979424
2018,30057,Madison County,Montana,6,11.728395062
2018,31031,Cherry County,Nebraska,6,10.579710145
2018,38043,Kidder County,North Dakota,6,5.3359683794
2018,44001,Bristol County,Rhode Island,6,15.017839766
2018,51023,Botetourt County,Virginia,6,6.7116697703
2018,08014,Broomfield County,Colorado,6.1,10.768254916
2018,19129,Mills County,Iowa,6.1,8.8946780796
2018,20157,Republic County,Kansas,6.1,7.470703125
2018,20165,Rush County,Kansas,6.1,6.6811909949
2018,23013,Knox County,Maine,6.1,11.007330338
2018,27005,Becker County,Minnesota,6.1,9.6037708057
2018,29173,Ralls County,Missouri,6.1,11.704002014
2018,30029,Flathead County,Montana,6.1,12.903308937
2018,30067,Park County,Montana,6.1,12.121212121
2018,31027,Cedar County,Nebraska,6.1,6.1469265367
2018,31029,Chase County,Nebraska,6.1,7.9103493738
2018,33009,Grafton County,New Hampshire,6.1,13.599113418
2018,35028,Los Alamos County,New Mexico,6.1,3.4695451041
2018,35055,Taos County,New Mexico,6.1,13.323770146
2018,55063,La Crosse County,Wisconsin,6.1,11.920276781
2018,02261,Valdez-Cordova Census Area,Alaska,6.2,6.390861377
2018,09005,Litchfield County,Connecticut,6.2,13.988331644
