Limited Access To Healthy Foods-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Limited Access To Healthy Foods
2018,56039,Teton County,Wyoming,3.8,3.8117524014
2018,53055,San Juan County,Washington,4.5,No Data
2018,49043,Summit County,Utah,4.8,5.6752998188
2018,27045,Fillmore County,Minnesota,5,0.7425906825
2018,30031,Gallatin County,Montana,5,4.3666197981
2018,06057,Nevada County,California,5.1,8.6130407022
2018,16013,Blaine County,Idaho,5.1,2.830154318
2018,08037,Eagle County,Colorado,5.2,4.7114712784
2018,08039,Elbert County,Colorado,5.3,7.0130407513
2018,08069,Larimer County,Colorado,5.3,4.7174614223
2018,56019,Johnson County,Wyoming,5.3,11.26850353
2018,08067,La Plata County,Colorado,5.4,4.1778011271
2018,41003,Benton County,Oregon,5.4,7.3827716636
2018,53031,Jefferson County,Washington,5.4,6.6965462818
2018,08013,Boulder County,Colorado,5.5,2.6040508857
2018,08035,Douglas County,Colorado,5.5,1.9500937406
2018,19081,Hancock County,Iowa,5.5,3.4610183304
2018,26047,Emmet County,Michigan,5.5,6.3182836872
2018,51107,Loudoun County,Virginia,5.5,0.9939536474
2018,55025,Dane County,Wisconsin,5.5,4.2892652756
2018,08007,Archuleta County,Colorado,5.6,10.708222627
2018,08049,Grand County,Colorado,5.6,0.2609285193
2018,08117,Summit County,Colorado,5.6,1.4729136704
2018,51059,Fairfax County,Virginia,5.6,1.5694088143
2018,06087,Santa Cruz County,California,5.7,5.4188617386
2018,08045,Garfield County,Colorado,5.7,3.983111544
2018,08059,Jefferson County,Colorado,5.7,3.4688413768
2018,08119,Teller County,Colorado,5.7,3.2231295926
2018,19191,Winneshiek County,Iowa,5.7,1.6771827367
2018,27121,Pope County,Minnesota,5.7,3.0296219078
2018,34019,Hunterdon County,New Jersey,5.7,2.6329771146
2018,30009,Carbon County,Montana,5.8,3.3414548536
2018,35049,Santa Fe County,New Mexico,5.8,9.3451555156
2018,06041,Marin County,California,5.9,1.1658245282
2018,08093,Park County,Colorado,5.9,10.869415723
2018,08097,Pitkin County,Colorado,5.9,1.9727076003
2018,08107,Routt County,Colorado,5.9,2.4610716384
2018,13143,Haralson County,Georgia,5.9,6.1752012677
2018,26055,Grand Traverse County,Michigan,5.9,5.3598353477
2018,49051,Wasatch County,Utah,5.9,6.8358364365
2018,51510,Alexandria City,Virginia,5.9,No Data
2018,06061,Placer County,California,6,5.1065319918
2018,08015,Chaffee County,Colorado,6,2.9234847015
2018,08051,Gunnison County,Colorado,6,3.0766866973
2018,20105,Lincoln County,Kansas,6,9.5348516418
2018,30057,Madison County,Montana,6,9.8616473849
2018,31031,Cherry County,Nebraska,6,10.852863822
2018,38043,Kidder County,North Dakota,6,37.974132854
2018,44001,Bristol County,Rhode Island,6,12.093869358
2018,51023,Botetourt County,Virginia,6,10.8473376
2018,08014,Broomfield County,Colorado,6.1,5.0412052139
2018,19129,Mills County,Iowa,6.1,3.8071065269
2018,20157,Republic County,Kansas,6.1,6.1911290146
2018,20165,Rush County,Kansas,6.1,10.627612205
2018,23013,Knox County,Maine,6.1,1.6617192242
2018,27005,Becker County,Minnesota,6.1,12.763271463
2018,29173,Ralls County,Missouri,6.1,1.5575911028
2018,30029,Flathead County,Montana,6.1,4.0747431268
2018,30067,Park County,Montana,6.1,12.398624572
2018,31027,Cedar County,Nebraska,6.1,4.589776962
2018,31029,Chase County,Nebraska,6.1,8.7909328115
2018,33009,Grafton County,New Hampshire,6.1,2.5054491177
2018,35028,Los Alamos County,New Mexico,6.1,5.0383085684
2018,35055,Taos County,New Mexico,6.1,13.802364074
2018,55063,La Crosse County,Wisconsin,6.1,4.7504430391
2018,02261,Valdez-Cordova Census Area,Alaska,6.2,10.344582001
2018,09005,Litchfield County,Connecticut,6.2,3.3720152513
2018,20131,Nemaha County,Kansas,6.2,8.8546768431
2018,25015,Hampshire County,Massachusetts,6.2,12.495694824
2018,27131,Rice County,Minnesota,6.2,6.3328420043
2018,30063,Missoula County,Montana,6.2,4.9669449448
2018,31039,Cuming County,Nebraska,6.2,5.1906312253
2018,31057,Dundy County,Nebraska,6.2,17.183412876
2018,31135,Perkins County,Nebraska,6.2,7.3394660298
2018,35027,Lincoln County,New Mexico,6.2,15.328200884
