Dentists per 100000 Population-Density; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Dentists per 100000 Population
2018,56039,Teton County,Wyoming,3.8,93.62897
2018,53055,San Juan County,Washington,4.5,68.60279
2018,49043,Summit County,Utah,4.8,51.76592
2018,27045,Fillmore County,Minnesota,5,56.77786
2018,30031,Gallatin County,Montana,5,67.63351
2018,06057,Nevada County,California,5.1,84.33227
2018,16013,Blaine County,Idaho,5.1,81.10646
2018,08037,Eagle County,Colorado,5.2,67.35968
2018,08039,Elbert County,Colorado,5.3,7.322520000000001
2018,08069,Larimer County,Colorado,5.3,81.84714
2018,56019,Johnson County,Wyoming,5.3,69.86493
2018,08067,La Plata County,Colorado,5.4,88.39545
2018,41003,Benton County,Oregon,5.4,71.85834
2018,53031,Jefferson County,Washington,5.4,48.92965999999999
2018,08013,Boulder County,Colorado,5.5,106.67204999999998
2018,08035,Douglas County,Colorado,5.5,68.74567
2018,19081,Hancock County,Iowa,5.5,57.104789999999994
2018,26047,Emmet County,Michigan,5.5,113.97037
2018,51107,Loudoun County,Virginia,5.5,69.06599999999999
2018,55025,Dane County,Wisconsin,5.5,73.29839
2018,08007,Archuleta County,Colorado,5.6,42.26543
2018,08049,Grand County,Colorado,5.6,37.989110000000004
2018,08117,Summit County,Colorado,5.6,101.20465999999999
2018,51059,Fairfax County,Virginia,5.6,108.87633000000001
2018,06087,Santa Cruz County,California,5.7,81.50412
2018,08045,Garfield County,Colorado,5.7,76.20183999999999
2018,08059,Jefferson County,Colorado,5.7,97.20839
2018,08119,Teller County,Colorado,5.7,50.92248
2018,19191,Winneshiek County,Iowa,5.7,65.45162
2018,27121,Pope County,Minnesota,5.7,26.602819999999998
2018,34019,Hunterdon County,New Jersey,5.7,88.14314
2018,30009,Carbon County,Montana,5.8,64.09669
2018,35049,Santa Fe County,New Mexico,5.8,88.18923
2018,06041,Marin County,California,5.9,122.40996
2018,08093,Park County,Colorado,5.9,15.826960000000001
2018,08097,Pitkin County,Colorado,5.9,67.06158
2018,08107,Routt County,Colorado,5.9,101.72143999999999
2018,13143,Haralson County,Georgia,5.9,19.747889999999998
2018,26055,Grand Traverse County,Michigan,5.9,102.57287000000001
2018,49051,Wasatch County,Utah,5.9,50.9915
2018,51510,Alexandria City,Virginia,5.9,86.31226
2018,06061,Placer County,California,6,103.73495000000001
2018,08015,Chaffee County,Colorado,6,58.08044
2018,08051,Gunnison County,Colorado,6,51.156710000000004
2018,20105,Lincoln County,Kansas,6,No Data
2018,30057,Madison County,Montana,6,11.16196
2018,31031,Cherry County,Nebraska,6,155.68241
2018,38043,Kidder County,North Dakota,6,No Data
2018,44001,Bristol County,Rhode Island,6,37.22854
2018,51023,Botetourt County,Virginia,6,29.7327
2018,08014,Broomfield County,Colorado,6.1,101.05763999999999
2018,19129,Mills County,Iowa,6.1,40.63389
2018,20157,Republic County,Kansas,6.1,22.04586
2018,20165,Rush County,Kansas,6.1,33.932809999999996
2018,23013,Knox County,Maine,6.1,75.09199000000001
2018,27005,Becker County,Minnesota,6.1,60.947300000000006
2018,29173,Ralls County,Missouri,6.1,9.709679999999999
2018,30029,Flathead County,Montana,6.1,66.13069
2018,30067,Park County,Montana,6.1,65.63246
2018,31027,Cedar County,Nebraska,6.1,35.65486
2018,31029,Chase County,Nebraska,6.1,26.04167
2018,33009,Grafton County,New Hampshire,6.1,83.80104
2018,35028,Los Alamos County,New Mexico,6.1,92.48792999999999
2018,35055,Taos County,New Mexico,6.1,52.15844
2018,55063,La Crosse County,Wisconsin,6.1,95.35704
2018,02261,Valdez-Cordova Census Area,Alaska,6.2,42.79906
2018,09005,Litchfield County,Connecticut,6.2,66.25466
2018,20131,Nemaha County,Kansas,6.2,88.92402
2018,25015,Hampshire County,Massachusetts,6.2,76.20771
2018,27131,Rice County,Minnesota,6.2,53.66406
2018,30063,Missoula County,Montana,6.2,87.97172
2018,31039,Cuming County,Nebraska,6.2,45.46488
2018,31057,Dundy County,Nebraska,6.2,119.68880999999999
2018,31135,Perkins County,Nebraska,6.2,34.87967
2018,35027,Lincoln County,New Mexico,6.2,35.107079999999996
2018,38095,Towner County,North Dakota,6.2,No Data
2018,50023,Washington County,Vermont,6.2,84.00768
2018,50025,Windham County,Vermont,6.2,66.64287
2018,55007,Bayfield County,Wisconsin,6.2,39.36491
2018,55089,Ozaukee County,Wisconsin,6.2,99.95225
2018,02110,Juneau City and Borough,Alaska,6.3,103.61393000000001
2018,08027,Custer County,Colorado,6.3,No Data
2018,08031,Denver County,Colorado,6.3,77.49430000000001
2018,08103,Rio Blanco County,Colorado,6.3,78.83948000000001
2018,17043,Dupage County,Illinois,6.3,113.57183
2018,19003,Adams County,Iowa,6.3,83.61204000000001
2018,19027,Carroll County,Iowa,6.3,65.28071
2018,25017,Middlesex County,Massachusetts,6.3,102.46188
2018,30065,Musselshell County,Montana,6.3,No Data
2018,32005,Douglas County,Nevada,6.3,73.33768
2018,34027,Morris County,New Jersey,6.3,116.88357
2018,38007,Billings County,North Dakota,6.3,No Data
