Primary Care Physicians per 100000 Population-Density; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Primary Care Physicians per 100000 Population
2018,56039,Teton County,Wyoming,3.8,115.06989
2018,53055,San Juan County,Washington,4.5,79.62689
2018,49043,Summit County,Utah,4.8,135.24736000000001
2018,27045,Fillmore County,Minnesota,5,37.97408
2018,30031,Gallatin County,Montana,5,80.39569
2018,06057,Nevada County,California,5.1,74.18175000000001
2018,16013,Blaine County,Idaho,5.1,104.25263999999999
2018,08037,Eagle County,Colorado,5.2,76.18771000000001
2018,08039,Elbert County,Colorado,5.3,14.965019999999999
2018,08069,Larimer County,Colorado,5.3,85.45835
2018,56019,Johnson County,Wyoming,5.3,130.25459
2018,08067,La Plata County,Colorado,5.4,122.72994
2018,41003,Benton County,Oregon,5.4,114.98823
2018,53031,Jefferson County,Washington,5.4,86.89985
2018,08013,Boulder County,Colorado,5.5,122.62566
2018,08035,Douglas County,Colorado,5.5,69.48518
2018,19081,Hancock County,Iowa,5.5,18.814680000000003
2018,26047,Emmet County,Michigan,5.5,131.67739
2018,51107,Loudoun County,Virginia,5.5,75.44651
2018,55025,Dane County,Wisconsin,5.5,130.05423
2018,08007,Archuleta County,Colorado,5.6,78.40901
2018,08049,Grand County,Colorado,5.6,63.55662999999999
2018,08117,Summit County,Colorado,5.6,67.71791
2018,51059,Fairfax County,Virginia,5.6,111.02086999999999
2018,06087,Santa Cruz County,California,5.7,103.21617
2018,08045,Garfield County,Colorado,5.7,74.92383000000001
2018,08059,Jefferson County,Colorado,5.7,85.7808
2018,08119,Teller County,Colorado,5.7,47.26643
2018,19191,Winneshiek County,Iowa,5.7,110.04952
2018,27121,Pope County,Minnesota,5.7,133.34519
2018,34019,Hunterdon County,New Jersey,5.7,123.01903
2018,30009,Carbon County,Montana,5.8,55.94406
2018,35049,Santa Fe County,New Mexico,5.8,119.0492
2018,06041,Marin County,California,5.9,148.36222
2018,08093,Park County,Colorado,5.9,26.532239999999998
2018,08097,Pitkin County,Colorado,5.9,84.42618
2018,08107,Routt County,Colorado,5.9,128.71518999999998
2018,13143,Haralson County,Georgia,5.9,40.27927
2018,26055,Grand Traverse County,Michigan,5.9,132.13304
2018,49051,Wasatch County,Utah,5.9,49.866530000000004
2018,51510,Alexandria City,Virginia,5.9,75.89632999999999
2018,06061,Placer County,California,6,124.26913
2018,08015,Chaffee County,Colorado,6,88.42602
2018,08051,Gunnison County,Colorado,6,91.62753000000001
2018,20105,Lincoln County,Kansas,6,33.76097
2018,30057,Madison County,Montana,6,69.76744000000001
2018,31031,Cherry County,Nebraska,6,70.31112999999999
2018,38043,Kidder County,North Dakota,6,No Data
2018,44001,Bristol County,Rhode Island,6,202.14937999999998
2018,51023,Botetourt County,Virginia,6,50.86926999999999
2018,08014,Broomfield County,Colorado,6.1,106.43581999999999
2018,19129,Mills County,Iowa,6.1,59.567150000000005
2018,20157,Republic County,Kansas,6.1,64.71096
2018,20165,Rush County,Kansas,6.1,32.93808
2018,23013,Knox County,Maine,6.1,105.60193
2018,27005,Becker County,Minnesota,6.1,78.43593
2018,29173,Ralls County,Missouri,6.1,9.70026
2018,30029,Flathead County,Montana,6.1,86.70019
2018,30067,Park County,Montana,6.1,114.41648
2018,31027,Cedar County,Nebraska,6.1,11.90193
2018,31029,Chase County,Nebraska,6.1,25.4842
2018,33009,Grafton County,New Hampshire,6.1,196.91609
2018,35028,Los Alamos County,New Mexico,6.1,149.72379
2018,35055,Taos County,New Mexico,6.1,88.62268
2018,55063,La Crosse County,Wisconsin,6.1,144.89561
2018,02261,Valdez-Cordova Census Area,Alaska,6.2,130.40643
2018,09005,Litchfield County,Connecticut,6.2,58.225620000000006
2018,20131,Nemaha County,Kansas,6.2,97.74216
2018,25015,Hampshire County,Massachusetts,6.2,137.41217
2018,27131,Rice County,Minnesota,6.2,94.06916
2018,30063,Missoula County,Montana,6.2,103.67893000000001
2018,31039,Cuming County,Nebraska,6.2,45.218180000000004
2018,31057,Dundy County,Nebraska,6.2,59.06675
2018,31135,Perkins County,Nebraska,6.2,103.77032
2018,35027,Lincoln County,New Mexico,6.2,45.98406
2018,38095,Towner County,North Dakota,6.2,No Data
2018,50023,Washington County,Vermont,6.2,104.43596
2018,50025,Windham County,Vermont,6.2,99.47421000000001
2018,55007,Bayfield County,Wisconsin,6.2,39.90423
2018,55089,Ozaukee County,Wisconsin,6.2,134.49748
2018,02110,Juneau City and Borough,Alaska,6.3,125.10164999999999
2018,08027,Custer County,Colorado,6.3,19.73165
2018,08031,Denver County,Colorado,6.3,138.74928
2018,08103,Rio Blanco County,Colorado,6.3,158.12777
2018,17043,Dupage County,Illinois,6.3,135.43954
2018,19003,Adams County,Iowa,6.3,27.76235
2018,19027,Carroll County,Iowa,6.3,89.26357999999999
2018,25017,Middlesex County,Massachusetts,6.3,127.81542999999999
2018,30065,Musselshell County,Montana,6.3,No Data
2018,32005,Douglas County,Nevada,6.3,55.20908
2018,34027,Morris County,New Jersey,6.3,103.28456999999999
2018,38007,Billings County,North Dakota,6.3,No Data
2018,38069,Pierce County,North Dakota,6.3,75.4717
2018,45013,Beaufort County,South Carolina,6.3,69.22685
2018,46055,Haakon County,South Dakota,6.3,105.31859
2018,49005,Cache County,Utah,6.3,44.43093
2018,51013,Arlington County,Virginia,6.3,78.11115
2018,55073,Marathon County,Wisconsin,6.3,98.0161
2018,55127,Walworth County,Wisconsin,6.3,39.47318
2018,06017,El Dorado County,California,6.4,78.82059000000001
2018,09001,Fairfield County,Connecticut,6.4,94.34642000000001
