Access to Exercise Opportunities-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities
2018,56039,Teton County,Wyoming,3.8,96.496665727
2018,53055,San Juan County,Washington,4.5,80.867524891
2018,49043,Summit County,Utah,4.8,94.474727453
2018,27045,Fillmore County,Minnesota,5,77.690980543
2018,30031,Gallatin County,Montana,5,76.39895881
2018,06057,Nevada County,California,5.1,67.783807865
2018,16013,Blaine County,Idaho,5.1,74.040980539
2018,08037,Eagle County,Colorado,5.2,96.564936682
2018,08039,Elbert County,Colorado,5.3,36.498310664
2018,08069,Larimer County,Colorado,5.3,87.395454394
2018,56019,Johnson County,Wyoming,5.3,62.049247287
2018,08067,La Plata County,Colorado,5.4,69.978961312
2018,41003,Benton County,Oregon,5.4,87.221164071
2018,53031,Jefferson County,Washington,5.4,78.655597215
2018,08013,Boulder County,Colorado,5.5,94.163976277
2018,08035,Douglas County,Colorado,5.5,91.118350761
2018,19081,Hancock County,Iowa,5.5,36.143197249
2018,26047,Emmet County,Michigan,5.5,68.676209702
2018,51107,Loudoun County,Virginia,5.5,88.794823109
2018,55025,Dane County,Wisconsin,5.5,91.206438381
2018,08007,Archuleta County,Colorado,5.6,91.88182721
2018,08049,Grand County,Colorado,5.6,73.017584046
2018,08117,Summit County,Colorado,5.6,99.985711224
2018,51059,Fairfax County,Virginia,5.6,99.248793132
2018,06087,Santa Cruz County,California,5.7,94.960782371
2018,08045,Garfield County,Colorado,5.7,84.697370054
2018,08059,Jefferson County,Colorado,5.7,98.822545614
2018,08119,Teller County,Colorado,5.7,79.725910064
2018,19191,Winneshiek County,Iowa,5.7,65.981193009
2018,27121,Pope County,Minnesota,5.7,44.065484311
2018,34019,Hunterdon County,New Jersey,5.7,82.04426992
2018,30009,Carbon County,Montana,5.8,41.218495733
2018,35049,Santa Fe County,New Mexico,5.8,73.366164944
2018,06041,Marin County,California,5.9,96.354329679
2018,08093,Park County,Colorado,5.9,63.001357522
2018,08097,Pitkin County,Colorado,5.9,92.535572662
2018,08107,Routt County,Colorado,5.9,75.086137224
2018,13143,Haralson County,Georgia,5.9,16.268241835
2018,26055,Grand Traverse County,Michigan,5.9,70.08829007
2018,49051,Wasatch County,Utah,5.9,66.404589885
2018,51510,Alexandria City,Virginia,5.9,100
2018,06061,Placer County,California,6,90.727315516
2018,08015,Chaffee County,Colorado,6,99.32618339
2018,08051,Gunnison County,Colorado,6,82.243539546
2018,20105,Lincoln County,Kansas,6,0.9256402345
2018,30057,Madison County,Montana,6,26.108438435
2018,31031,Cherry County,Nebraska,6,61.053737091
2018,38043,Kidder County,North Dakota,6,7.2689938398
2018,44001,Bristol County,Rhode Island,6,88.208521303
2018,51023,Botetourt County,Virginia,6,65.394593942
2018,08014,Broomfield County,Colorado,6.1,98.924654225
2018,19129,Mills County,Iowa,6.1,49.491998141
2018,20157,Republic County,Kansas,6.1,46.224899598
2018,20165,Rush County,Kansas,6.1,29.513153916
2018,23013,Knox County,Maine,6.1,39.739782565
2018,27005,Becker County,Minnesota,6.1,43.809992616
2018,29173,Ralls County,Missouri,6.1,4.8686928297
2018,30029,Flathead County,Montana,6.1,69.189908499
2018,30067,Park County,Montana,6.1,54.380915835
2018,31027,Cedar County,Nebraska,6.1,36.918210574
2018,31029,Chase County,Nebraska,6.1,60.867372668
2018,33009,Grafton County,New Hampshire,6.1,78.29955789
2018,35028,Los Alamos County,New Mexico,6.1,97.994428969
2018,35055,Taos County,New Mexico,6.1,73.255001973
2018,55063,La Crosse County,Wisconsin,6.1,80.954831731
2018,02261,Valdez-Cordova Census Area,Alaska,6.2,63.95807389
2018,09005,Litchfield County,Connecticut,6.2,76.974311183
2018,20131,Nemaha County,Kansas,6.2,34.839850658
2018,25015,Hampshire County,Massachusetts,6.2,77.155237854
2018,27131,Rice County,Minnesota,6.2,79.353621652
2018,30063,Missoula County,Montana,6.2,86.310030284
2018,31039,Cuming County,Nebraska,6.2,65.379144327
2018,31057,Dundy County,Nebraska,6.2,5.5278884462
2018,31135,Perkins County,Nebraska,6.2,45.31986532
2018,35027,Lincoln County,New Mexico,6.2,85.017319608
2018,38095,Towner County,North Dakota,6.2,52.760463045
2018,50023,Washington County,Vermont,6.2,60.462928747
2018,50025,Windham County,Vermont,6.2,58.919866107
2018,55007,Bayfield County,Wisconsin,6.2,38.597309178
2018,55089,Ozaukee County,Wisconsin,6.2,85.293130389
2018,02110,Juneau City and Borough,Alaska,6.3,100
2018,08027,Custer County,Colorado,6.3,91.868390129
2018,08031,Denver County,Colorado,6.3,98.934613885
2018,08103,Rio Blanco County,Colorado,6.3,87.218721872
2018,17043,Dupage County,Illinois,6.3,99.1062509
2018,19003,Adams County,Iowa,6.3,51.948374286
2018,19027,Carroll County,Iowa,6.3,63.49923136
2018,25017,Middlesex County,Massachusetts,6.3,94.896363146
2018,30065,Musselshell County,Montana,6.3,50.881445571
2018,32005,Douglas County,Nevada,6.3,75.879311445
2018,34027,Morris County,New Jersey,6.3,93.77483363
2018,38007,Billings County,North Dakota,6.3,27.713920817
2018,38069,Pierce County,North Dakota,6.3,68.739958687
2018,45013,Beaufort County,South Carolina,6.3,79.708197469
2018,46055,Haakon County,South Dakota,6.3,56.3242127
2018,49005,Cache County,Utah,6.3,80.7342707
2018,51013,Arlington County,Virginia,6.3,100
2018,55073,Marathon County,Wisconsin,6.3,65.761619537
2018,55127,Walworth County,Wisconsin,6.3,72.94185546
2018,06017,El Dorado County,California,6.4,83.459996244
2018,09001,Fairfield County,Connecticut,6.4,94.526787438
2018,19049,Dallas County,Iowa,6.4,73.504195963
2018,19101,Jefferson County,Iowa,6.4,61.936709612
2018,19141,O&#39;brien County,Iowa,6.4,58.42478122
2018,20183,Smith County,Kansas,6.4,61.27692707
2018,21097,Harrison County,Kentucky,6.4,46.168948318
2018,26009,Antrim County,Michigan,6.4,45.814249364
2018,27075,Lake County,Minnesota,6.4,59.745996687
2018,30075,Powder River County,Montana,6.4,16.408491107
2018,31165,Sioux County,Nebraska,6.4,5.3394355454
2018,34035,Somerset County,New Jersey,6.4,89.443922286
2018,38023,Divide County,North Dakota,6.4,53.259295027
2018,38045,Lamoure County,North Dakota,6.4,48.900700652
2018,49055,Wayne County,Utah,6.4,43.844492441
2018,50007,Chittenden County,Vermont,6.4,77.908588585
2018,55055,Jefferson County,Wisconsin,6.4,70.585283082
2018,55093,Pierce County,Wisconsin,6.4,65.874350911
2018,55141,Wood County,Wisconsin,6.4,65.701213394
2018,05015,Carroll County,Arkansas,6.5,44.673176419
2018,08047,Gilpin County,Colorado,6.5,50.909759235
2018,08113,San Miguel County,Colorado,6.5,79.453730126
2018,09007,Middlesex County,Connecticut,6.5,86.467563196
2018,12115,Sarasota County,Florida,6.5,89.181653349
2018,17057,Fulton County,Illinois,6.5,55.982087459
2018,19035,Cherokee County,Iowa,6.5,67.196819085
2018,19071,Fremont County,Iowa,6.5,27.187206021
2018,19093,Ida County,Iowa,6.5,70.799830724
2018,19151,Pocahontas County,Iowa,6.5,57.55129959
2018,21039,Carlisle County,Kentucky,6.5,7.6802507837
